Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
00015100012L,,,0005,0027,0066,WE BUSH GAITER CHARCOAL L,EACH,WE,5,5,S,,U,9327868040797
00015100012M,,,0005,0027,0066,WE BUSH GAITER CHARCOAL M,EACH,WE,5,5,S,,U,9327868040803
00015100012S,,,0005,0027,0066,WE BUSH GAITER CHARCOAL S,EACH,WE,3,3,S,,U,9327868040810
00015100012XL,,,0005,0027,0066,WE BUSH GAITER CHARCOAL XL,EACH,WE,2,2,S,,U,9327868040780
00015300003160,,,0005,0028,0067,TOB LACE FLAT 160CM BROWN 160,EACH,TOB,11,11,S,,U,9001406867137
00015400003140,,,0005,0028,0067,TOB LACE ROUN 140CM BROWN 140,EACH,TOB,3,3,S,,U,9001406757131
00015400006140,,,0005,0028,0067,TOB LACE ROUN 140CM RED 140,EACH,TOB,9,9,S,,U,9001406756608
00015400368140,,,0005,0028,0067,TOB LACE ROUN 140CM FLECK 140,EACH,TOB,3,3,S,,U,9001406759043
000155,,,0022,0105,0263,NIK AQUE WAX 125ML,EACH,NIK,6,6,S,,,5020716751008
000158,,,0022,0105,0263,NIK FABR LEATHER 125ML,EACH,NIK,4,4,S,,,5020716791004
000161,,,0022,0105,0263,NIK NUBUCK 125ML,EACH,NIK,4,4,S,,,5020716771006
000163,,,0022,0104,0260,GEA REVIVEX BOOT+SHOE CLEANER,EACH,GEA,6,6,S,,,021563362503
000164,,,0022,0105,0263,GEA REVIVEX LEATHER WATER REPE,EACH,GEA,2,2,S,,,021563362602
000167,,,0022,0105,0263,ATS SNOW SEAL JAR 200G,EACH,ATS,3,3,S,,,074928000084
000168,,,0022,0105,0263,ATS SNOW SEAL TUBE 100G,EACH,ATS,2,2,S,,,074928000077
0001699999936,,,0005,0029,0068,SCA FOOT BED NC 36,EACH,SCA,1,1,S,,U,8025228513875
0001699999938,,,0005,0029,0068,SCA FOOT BED NC 38,EACH,SCA,1,1,S,,U,8025228577594
0001699999939,,,0005,0029,0068,SCA FOOT BED NC 39,EACH,SCA,2,2,S,,U,8025228577600
0001699999940,,,0005,0029,0068,SCA FOOT BED NC 40,EACH,SCA,1,1,S,,U,8025228577617
0001699999941,,,0005,0029,0068,SCA FOOT BED NC 41,EACH,SCA,2,2,S,,U,8025228577624
0001699999942,,,0005,0029,0068,SCA FOOT BED NC 42,EACH,SCA,1,1,S,,U,8025228577631
0001699999943,,,0005,0029,0068,SCA FOOT BED NC 43,EACH,SCA,2,2,S,,U,802522857764
0001699999944,,,0005,0029,0068,SCA FOOT BED NC 44,EACH,SCA,2,2,S,,U,8025228577655
0001699999945,,,0005,0029,0068,SCA FOOT BED NC 45,EACH,SCA,2,2,S,,U,8025228577662
0001699999946,,,0005,0029,0068,SCA FOOT BED NC 46,EACH,SCA,2,2,S,,U,8025228577679
0001699999947,,,0005,0029,0068,SCA FOOT BED NC 47,EACH,SCA,1,1,S,,U,8025228577686
0001699999948,,,0005,0029,0068,SCA FOOT BED NC 48,EACH,SCA,1,1,S,,U,8025228577693
0001699999949,,,0005,0029,0068,SCA FOOT BED NC 49,EACH,SCA,1,1,S,,U,8025228514001
00025700002NS,,,0011,0046,0123,CB BIG BITE VALVE BLUE NS,EACH,CB,3,3,S,,U,713852900113
000270,,,0011,0046,0123,MSR DROM HYDR KIT,EACH,MSR,2,2,S,,,040818570609
000274,,,0011,0046,0123,SEA PACK TAP 4L,EACH,SEA,2,2,S,,,9327868002016
000275,,,0011,0046,0123,SEA PACK TAP 6L,EACH,SEA,3,3,S,,,9327868002023
000315,,,0012,0053,0137,PAC PAC SAFE 120L MESH LOCK,EACH,PAC,1,1,S,,,688334014209
000338,,,0012,0054,0138,KOR TRAVEL UMBRELLA,EACH,KOR,6,6,S,,,9312794525258
00034699999M,,,0012,0054,0138,NAL TRAVEL KIT NC M,EACH,NAL,1,1,S,,U,661195410014
000352,,,0012,0054,0138,SEA SN240 TREK UMBRELLA,EACH,SEA,2,2,S,,,9327868001149
000402,,,0018,0080,0203,PFH BOLT BRACKET 90 REMOVE,EACH,PFH,16,16,S,,,00184153
000404,,,0018,0080,0206,KON FIG8 ANOD 805,EACH,KON,4,4,S,,,8023577024905
000405,,,0018,0080,0206,KON FIG8 POLI 805,EACH,KON,6,6,S,,,8023577008608
00040899999LH,,,0018,0080,0203,KON 896L LIFT ASCE NC LH,EACH,KON,2,2,S,,U,8023577009698
00040999999RH,,,0018,0080,0203,KON 896R LIFT ASCE RIGH NC RH,EACH,KON,2,2,S,,U,8023577009261
000412,,,0018,0080,0203,PFH BOLT BRACKET 45 REMOVE,EACH,PFH,14,14,S,,,00232636
000420999991,,,0018,0080,0203,BD STOP WIRE NC 1,EACH,BD,1,1,S,,U,793661019060
0004209999910,,,0018,0080,0203,BD STOP WIRE NC 10,EACH,BD,1,1,S,,U,793661019756
0004209999911,,,0018,0080,0203,BD STOP WIRE NC 11,EACH,BD,1,1,S,,U,793661019763
0004209999912,,,0018,0080,0203,BD STOP WIRE NC 12,EACH,BD,2,2,S,,U,793661019930
0004209999913,,,0018,0080,0203,BD STOP WIRE NC 13,EACH,BD,2,2,S,,U,793661019961
000420999992,,,0018,0080,0203,BD STOP WIRE NC 2,EACH,BD,1,1,S,,U,793661019671
000420999994,,,0018,0080,0203,BD STOP WIRE NC 4,EACH,BD,2,2,S,,U,793661019695
000420999995,,,0018,0080,0203,BD STOP WIRE NC 5,EACH,BD,1,1,S,,U,793661019701
000420999996,,,0018,0080,0203,BD STOP WIRE NC 6,EACH,BD,2,2,S,,U,793661019718
000420999997,,,0018,0080,0203,BD STOP WIRE NC 7,EACH,BD,1,1,S,,U,793661019725
000420999998,,,0018,0080,0203,BD STOP WIRE NC 8,EACH,BD,1,1,S,,U,793661019732
000420999999,,,0018,0080,0203,BD STOP WIRE NC 9,EACH,BD,1,1,S,,U,793661019749
000429,,,0018,0080,0207,PET CROLL ASCENDER SMALL,EACH,PET,1,1,S,,,3342540094307
000431,,,0018,0080,0207,PET SHUN B03B,EACH,PET,1,1,S,,,3342540000322
000434,,,0018,0080,0204,KON 411 STEE S/G XL D CARABINE,EACH,KON,4,4,S,,,8023577015576
000436,,,0018,0080,0204,KON 462C1 STEE OVAL S/G,EACH,KON,4,4,S,,,8023577008455
00044000002NS,,,0018,0080,0204,KON 737 ANOD S/G  BIG D BLUE NS,EACH,KON,6,6,S,,U,8023577030357
00044000006NS,,,0018,0080,0204,KON 737 ANOD S/G  BIG D RED NS,EACH,KON,6,6,S,,U,8023577018478
000441,,,0018,0080,0204,KON 737 POLI S/G BIG D,EACH,KON,7,7,S,,,8023577008547
00044200001NS,,,0018,0080,0204,KON 737B BLAC S/G BIG D BLACK NS,EACH,KON,3,3,S,,U,8023577030364
000450,,,0018,0080,0204,KON 409.10 Q/LI STEE D 10MM,EACH,KON,6,6,S,,,8023577008738
00045999999L,,,0018,0080,0204,BD JIVE WIRE ACCE CARABINER NC L,EACH,BD,6,6,S,,U,793661009924
00045999999S,,,0018,0080,0204,BD JIVE WIRE ACCE CARABINER NC S,EACH,BD,5,5,S,,U,793661009917
000520,,,0018,0081,0211,PET RAPP RACK D11,EACH,PET,1,1,S,,,3342540002067
000567,,,0010,0043,0116,WE REFL GUY CORD 2M 2PK,EACH,WE,1,1,S,,,9327868024896
000572,,,0013,0056,0142,BUS ULTRA DRY GEL 75G,EACH,BUS,11,11,S,,,93327602
000574,,,0013,0056,0142,RID TROP STRE 100ML PUMP,EACH,RID,2,2,S,,,9311037431004
000575,,,0013,0056,0142,RID TROP STRE 100ML ROLL,EACH,RID,2,2,S,,,9311037421005
000588,,,0013,0057,0146,EQU PERM IMPR PACK DE BUGGER,EACH,EQU,19,19,S,,,9339795000393
000594,,,0014,0063,0162,KAT COMBI CARB ELEM,EACH,KAT,1,1,S,,,7612013206541
000595,,,0014,0063,0162,KAT COMBI FILTER SPAR CART,EACH,KAT,1,1,S,,,7612013206558
00059600001NS,,,0014,0063,0162,KAT COMBI FILTER BLACK NS,EACH,KAT,1,1,S,,U,7612013176851
000599,,,0014,0063,0162,KAT MICR PUR LIQU+K2258 100ML,EACH,KAT,1,1,S,,,7612013188779
000602,,,0014,0063,0162,KAT POCKET FILTER,EACH,KAT,1,1,S,,,7612013201003
000607,,,0014,0063,0162,KAT HIKER PRO CART,EACH,KAT,2,2,S,,,7612013146441
000610,,,0014,0063,0162,KAT MICRO PUR FORT TABL X100,EACH,KAT,30,30,S,,,7612013142580
0006239999925.1,,,0014,0060,0150,TRA STORM COOK UL NC 25.1,EACH,TRA,3,3,S,,U,7315081402517
0006239999925.2,,,0014,0060,0150,TRA STORM COOK UL NC 25.2,EACH,TRA,1,1,S,,U,7315081402524
0006239999925.5,,,0014,0060,0150,TRA STORM COOK UL NC 25.5,EACH,TRA,2,2,S,,U,7315081402555
0006239999925.7,,,0014,0060,0150,TRA STORM COOK UL NC 25.7,EACH,TRA,1,1,S,,U,7315081602573
0006239999927.1,,,0014,0060,0150,TRA STORM COOK UL NC 27.1,EACH,TRA,4,4,S,,U,7315081402715
0006239999927.2,,,0014,0060,0150,TRA STORM COOK UL NC 27.2,EACH,TRA,2,2,S,,U,7315081402722
0006239999927.7,,,0014,0060,0150,TRA STORM COOK UL NC 27.7,EACH,TRA,3,3,S,,U,7315081602771
000629,,,0014,0060,0149,MSR DRAG FLY STOVE,EACH,MSR,3,3,S,,,0408181177434
000630,,,0014,0060,0149,MSR WHIS INTE STOVE,EACH,MSR,2,2,S,,,040818066331
000636000040.6,,,0014,0060,0151,OPT FUEL BOTTLE 0.6L GREEN 0.6,EACH,OPT,2,2,S,,U,7391812141061
000637999991.0,,,0014,0060,0151,TRA FUEL BOTTLE 1L NC 1.0,EACH,TRA,2,2,S,,U,7315085060102
000638,,,0014,0060,0151,TRA FUEL BOTTLE 500ML,EACH,TRA,3,3,S,,,7315085060058
00064700006NS,,,0014,0060,0151,MSR FUEL BOTTLE 325ML RED NS,EACH,MSR,1,1,S,,U,040818118306
000652,,,0014,0060,0151,MSR ISOP CANI 227GM,EACH,MSR,1,1,S,,,0040818322109
000653,,,0014,0060,0152,TRA BRASS SPIRIT BURNER,EACH,TRA,3,3,S,,,7315086025001
0006559999927,,,0014,0060,0152,TRA MULT DISC NC 27,EACH,TRA,2,2,S,,U,7315086027098
000656,,,0014,0060,0152,TRA SCREW CAP BL25,EACH,TRA,1,1,S,,,7315086025056
000658,,,0014,0060,0152,TRA STRAP R68,EACH,TRA,6,6,S,,,7315086068008
000667,,,0014,0060,0152,COG WATE PROO MATC 1BOX,EACH,COG,12,12,S,,,
000668,,,0014,0060,0152,COG WATE PROO MATC 4BOX,EACH,COG,4,4,S,,,056389009400
000669,,,0014,0060,0152,COG WIND WATE PROO MATC,EACH,COG,3,3,S,,,056389011700
000670,,,0014,0060,0152,MSR ANNU MAIN KIT S+F,EACH,MSR,2,2,S,,,0408181181462
000672,,,0014,0060,0152,MSR DRAG FLY MAIN KIT,EACH,MSR,2,2,S,,,040818118184
000673,,,0014,0060,0152,MSR DRAG FLY DURA SEAL PUMP,EACH,MSR,2,2,S,,,040818117965
000682,,,0014,0060,0152,MSR PAN HAND POT LIFT + COZY,EACH,MSR,1,1,S,,,0408181300016
000686,,,0014,0060,0152,MSR TRIL STOVE BASE,EACH,MSR,2,2,S,,,0408181181080
000690,,,0014,0060,0152,MSR WIND REFL,EACH,MSR,2,2,S,,,040818118122
000691,,,0014,0060,0152,MSR WL/WL INT EXPED MAIN KIT,EACH,MSR,2,2,S,,,040818068380
000692,,,0014,0060,0152,MSR XGK MAIN KIT,EACH,MSR,1,1,S,,,0408181181608
00069500077NS,,,0014,0061,0154,TRA KETTLE 0.6L 325 (27) ALUM NS,EACH,TRA,2,2,S,,U,7315082003256
00069600077NS,,,0014,0061,0154,TRA KETTLE 0.9L 324 (25) ALUM NS,EACH,TRA,4,4,S,,U,7315082003249
00072700815NS,,,0014,0061,0154,MSR TITA KETTLE 850ML TITANIUM NS,EACH,MSR,2,2,S,,U,094642211580
000729999992,,,0014,0061,0156,COG EGG HOLDER NC 2,EACH,COG,2,2,S,,U,
000729999996,,,0014,0061,0156,COG EGG HOLDER NC 6,EACH,COG,2,2,S,,U,056389008120
0007519999910,,,0014,0061,0156,SEA KITCHEN SINK 10L NC 10,EACH,SEA,5,5,S,,U,9327868001521
000799,,,0014,0063,0161,COG BOTTLE CARR,EACH,COG,5,5,S,,,056389000360
000809999991.0,,,0014,0063,0161,NAL POLY STRA SIDE JAR NC 1.0,EACH,NAL,4,4,S,,U,661195561266
00080999999125,,,0014,0063,0161,NAL POLY STRA SIDE JAR NC 125,EACH,NAL,6,6,S,,U,661195561211
0008099999930,,,0014,0063,0161,NAL POLY STRA SIDE JAR NC 30,EACH,NAL,6,6,S,,U,661195315548
0008099999960,,,0014,0063,0161,NAL POLY STRA SIDE JAR NC 60,EACH,NAL,8,8,S,,U,661195315562
000812,,,0014,0063,0161,NAL RECT HDPE BOTTLE 250ML,EACH,NAL,6,6,S,,,661195200776
00081499999250,,,0014,0063,0161,NAL ROUN WIDE BOTTLE NC 250,EACH,NAL,9,9,S,,U,661195562034
0008149999930,,,0014,0063,0161,NAL ROUN WIDE BOTTLE NC 30,EACH,NAL,2,2,S,,U,661195562003
000817999991.0,,,0014,0063,0161,NAL SQUA WIDE BOTTLE NC 1.0,EACH,NAL,1,1,S,,U,
00081799999175,,,0014,0063,0161,NAL SQUA WIDE BOTTLE NC 175,EACH,NAL,10,10,S,,U,
00081799999250,,,0014,0063,0161,NAL SQUA WIDE BOTTLE NC 250,EACH,NAL,3,3,S,,U,661195561174
000828,,,0014,0063,0161,SEA PACK TAP REPL BLAD 2-6L,EACH,SEA,2,2,S,,,9327868016242
000841,,,0021,0100,0254,BUSHWALKING IN AUSTRALIA CHAPMAN 4,EACH,CHA,1,1,S,,,9780959612974
000845,,,0021,0100,0254,DAY WALKS TASMANIA CHAPMAN,EACH,CHA,3,3,S,,,9781920995119
000846,,,0021,0100,0254,DAY WALKS VICTORIA CHAPMAN 2,EACH,CHA,1,1,S,,,9781920995102
000903999991,,,0016,0071,0182,MUNDA BIDDI TRAIL NC 1,EACH,DPW,1,1,S,,U,9.78073E+12
000903999993,,,0016,0071,0182,MUNDA BIDDI TRAIL NC 3,EACH,DPW,1,1,S,,U,
000903999994,,,0016,0071,0182,MUNDA BIDDI TRAIL NC 4,EACH,DPW,1,1,S,,U,9.78073E+12
000903999995,,,0016,0071,0182,MUNDA BIDDI TRAIL NC 5,EACH,DPW,1,1,S,,U,978-1-925978-42-1
000903999996,,,0016,0071,0182,MUNDA BIDDI TRAIL NC 6,EACH,DPW,1,1,S,,U,978-1-925978-43-8
000903999997,,,0016,0071,0182,MUNDA BIDDI TRAIL NC 7,EACH,DPW,1,1,S,,U,978-1-925978-44-5
001089,,,0016,0071,0182,PIRRON YALLOCK  VICMAPS 1:50K,EACH,VMP,1,1,S,,,9781742085630
001098,,,0016,0071,0182,CORRYONG  VICMAPS 1:50K,EACH,VMP,1,1,S,,,9781742084541
001112,,,0016,0071,0182,MARYSVILLE-LAKE MOUNTAIN  VICMAPS 1:25K,EACH,VMP,1,1,S,,,
001113,,,0016,0071,0182,MOUNT FIELD NATIONAL PARK  TASMAPS 1:50K,EACH,TMP,1,1,S,,,9318923008357
001120,,,0016,0071,0182,PHILLIP ISLAND SPECIAL  VICMAPS 1:25K,EACH,VMP,2,2,S,,,9781742875156
001125,,,0016,0071,0182,TALI KARNG SPECIAL  VICMAPS 1:25K,EACH,VMP,1,1,S,,,9781742875163
001141,,,0016,0071,0182,LAKE ST CLAIR DAY WALK MAP  TASMAPS 1:50K,EACH,TMP,1,1,S,,,9318923008128
001143,,,0016,0071,0182,ALBION PARK  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720043358
001144,,,0016,0071,0182,APPIN  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720043624
001145,,,0016,0071,0182,ARALUEN  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720037067
001146,,,0016,0071,0182,ARKSTONE  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720037982
001147,,,0016,0071,0182,AVON RIVER  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720043679
001148,,,0016,0071,0182,BADJA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720036862
001151,,,0016,0071,0182,BARGO  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720043662
001152,,,0016,0071,0182,BARRALLIER  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720041026
001153,,,0016,0071,0182,BARRINGTON TOPS  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720046632
001155,,,0016,0071,0182,BATHURST  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720038491
001156,,,0016,0071,0182,BEDULLUCK  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720034844
001158,,,0016,0071,0182,BEGA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720036558
001159,,,0016,0071,0182,BELLINGEN  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720052978
001160,,,0016,0071,0182,BELOWRA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720036879
001161,,,0016,0071,0182,BEMBOKA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720036619
001162,,,0016,0071,0182,BEN BULLEN  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720041545
001164,,,0016,0071,0182,BENDETHERA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720037098
001165,,,0016,0071,0182,BENDOURA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720037135
001166,,,0016,0071,0182,BERMAGUI  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720040012
001169,,,0016,0071,0182,BIG HILL  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720050998
001170,,,0016,0071,0182,BIMLOW  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720041255
001171,,,0016,0071,0182,BINDOOK  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720041057
001173,,,0016,0071,0182,BLOWERING  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720031010
001175,,,0016,0071,0182,BOBBYS PLAIN  NSWLPI 1;25K,EACH,NLP,1,1,S,,,9313720032666
001176,,,0016,0071,0182,BODALLA  NSWLPI 1:25K,EACH,NLP,3,3,S,,,9313720040036
001178,,,0016,0071,0182,BOGONG ALPINE AREA MAP RECREATION GUIDE 4/e SPATIAL VISION 1:50,EACH,SVM,2,2,S,,,9780648337607
001179,,,0016,0071,0182,BOMBAH POINT  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720050028
001181,,,0016,0071,0182,BOMBAY  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720037401
001184,,,0016,0071,0182,BORO  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720037432
001185,,,0016,0071,0182,BOTANY BAY  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720046014
001186,,,0016,0071,0182,BOWMAN  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720048759
001188,,,0016,0071,0182,BRAIDWOOD  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720037371
001190,,,0016,0071,0182,BREDBO  NSWLPI 1:25K,EACH,NLP,2,2,S,,,9313720034530
001191,,,0016,0071,0182,BRINDABELLA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720032673
001192,,,0016,0071,0182,BROGO  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720036541
001193,,,0016,0071,0182,BROKEN BAY  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720045963
001195,,,0016,0071,0182,BROOMAN  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720040562
001196,,,0016,0071,0182,BRUNGLE  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720031065
001198,,,0016,0071,0182,BUKALONG  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720034004
001200,,,0016,0071,0182,BULLI  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720043631
001201,,,0016,0071,0182,BUNDANOON  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720040685
001203,,,0016,0071,0182,BUNGENDORE  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720034783
001204,,,0016,0071,0182,BUNGONIA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720037654
001206,,,0016,0071,0182,BURRAGATE  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720036374
001208,,,0016,0071,0182,BURRAGORANG  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720040968
001209,,,0016,0071,0182,BURRIER  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720040708
001210,,,0016,0071,0182,BURRUMBELA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720037081
001211,,,0016,0071,0182,BYLONG  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720042054
001212,,,0016,0071,0182,CABRAMURRA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720030754
001213,,,0016,0071,0182,CADDIGAT CREEK  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720207873
001214,,,0016,0071,0182,CADGEE  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720036817
001215,,,0016,0071,0182,CAMDEN  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720043686
001216,,,0016,0071,0182,CAMPBELLTOWN  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720043617
001217,,,0016,0071,0182,CANBERRA  NSWLPI 1:25K,EACH,NLP,2,2,S,,,9313720034813
001219,,,0016,0071,0182,CANGAI  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720051407
001221,,,0016,0071,0182,CANYONLEIGH  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720040760
001222,,,0016,0071,0182,CAOURA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720040739
001224,,,0016,0071,0182,CAPERTEE  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720038453
001225,,,0016,0071,0182,CAPTAINS FLAT  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720034462
001226,,,0016,0071,0182,CARRABOLLA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720046649
001228,,,0016,0071,0182,CATHCART  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720033984
001229,,,0016,0071,0182,CATHEDRAL  TASMAPS 1:25K3,EACH,TMP,1,1,S,,,00123463
001230,,,0016,0071,0182,CENTRAL TILBA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720040005
001232,,,0016,0071,0182,CHARCOAL RANGE  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720208047
001233,,,0016,0071,0182,CHATSBURY  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720037623
001234,,,0016,0071,0182,CHIMNEY RIDGE  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720208030
001235,,,0016,0071,0182,COFFS HARBOUR  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720054330
001237,,,0016,0071,0182,COLLINGWOOD  TASMAPS 1:25K,EACH,TMP,1,1,S,,,9318923000719
001238,,,0016,0071,0182,COLO HEIGHTS  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720044027
001240,,,0016,0071,0182,COOMA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720034271
001241,,,0016,0071,0182,COOPERNOOK  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720052275
001245,,,0016,0071,0182,CORICUDGY  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720041767
001246,,,0016,0071,0182,CORIN DAM  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720032314
001247,,,0016,0071,0182,COTTER DAM  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720032635
001248,,,0016,0071,0182,COURABYRA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720030792
001249,,,0016,0071,0182,COURAGAGO  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720032703
001250,,,0016,0071,0182,COWAN  NSWLPI 1:25K,EACH,NLP,2,2,S,,,9313720046021
001251,,,0016,0071,0182,CRADLE MOUNTAIN DAY WALK MAP  TASMAPS 1:20K,EACH,TMP,2,2,S,,,9318923008326
001257,,,0016,0071,0182,CULLEN BULLEN  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720041507
001259,,,0016,0071,0182,CUNJURONG POINT  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720043235
001260,,,0016,0071,0182,CURRARONG  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720043228
001262,,,0016,0071,0182,CURROWAN  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720040203
001264,,,0016,0071,0182,DALMORTON  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720051421
001266,,,0016,0071,0182,DARKWOOD  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720052992
001268,,,0016,0071,0182,DAVIES PLAIN  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720208061
001270,,,0016,0071,0182,DELEGATE  NSWLPI 1:50K,EACH,NLP,1,1,S,,,9313720032123
001271,,,0016,0071,0182,DENISON  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720032383
001272,,,0016,0071,0182,DOORALONG  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720046144
001273,,,0016,0071,0182,DOUGLAS APSLEY NATIONAL PARK  TASMAPS 1:50K,EACH,TMP,1,1,S,,,9318923008319
001275,,,0016,0071,0182,DUNDURRABIN  NSWLPI 1:25K,EACH,NLP,2,2,S,,,9313720053012
001278,,,0016,0071,0182,DURRAN DURRAN  NSWLPI 1:25K,EACH,NLP,2,2,S,,,9313720037364
001279,,,0016,0071,0182,DURRAS  NSWLPI 1:25K,EACH,NLP,3,3,S,,,9313720040159
001280,,,0016,0071,0182,EBOR  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720051209
001282,,,0016,0071,0182,EDEN  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720036312
001283,,,0016,0071,0182,EDITH  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720038200
001287,,,0016,0071,0182,ENMORE  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720049213
001290,,,0016,0071,0182,FRENCHMANS CAP WALK MAP  TASMAPS 1:50K,EACH,TMP,3,3,S,,,9318923008296
001291,,,0016,0071,0182,FREYCINET  TASMAP 1:100K,EACH,TMP,1,1,S,,,9318923004427
001292,,,0016,0071,0182,FREYCINET NATIONAL PARK  TASMAPS 1:50K,EACH,TMP,4,4,S,,,9318923008371
001294,,,0016,0071,0182,GEEHI DAM  NSWLPI 1:25K,EACH,NLP,2,2,S,,,9313720207972
001296,,,0016,0071,0182,GERROA  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720043389
001297,,,0016,0071,0182,GLEN ALICE  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720041538
001300,,,0016,0071,0182,GLENREAGH  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720052947
001301,,,0016,0071,0182,GLOUCESTER  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720048476
001302,,,0016,0071,0182,GLOUCESTER TOPS  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720048537
001305,,,0016,0071,0182,GOSFORD  NSWLPI 1:25K,EACH,NLP,1,1,S,,,9313720046168
