Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
508915999991.9,,,0014,0061,0154,SEA SIGMA POT W22 NC 1.9L,EACH,SEA,2,2,S,,U,9327868151561
508915999992.7,,,0014,0061,0154,SEA SIGMA POT W22 NC 2.7L,EACH,SEA,2,2,S,,U,9327868151585
50891709978OS,,,0018,0084,0218,SW ALPINIST WALK CRAMPON STEEL/BLUE One Size,EACH,SW,2,2,S,,U,4053865024540
50891809978OS,,,0018,0084,0218,SW ALPINIST COMBI CRAMPON STEEL/BLUE One Size,EACH,SW,3,3,S,,U,4053865024557
50891900157OS,,,0018,0084,0218,SW ALPINIST PRO CRAMPON BLACK/YELLOW One Size,EACH,SW,3,3,S,,U,4053866158725
50892000503REG,,,0006,0032,0074,SW MICRO II QUATTRO SBAG Left Hand Regular,EACH,SW,11,11,S,,U,
50892000705REG,,,0006,0032,0074,SW MICRO II QUATTRO SBAG Right Hand Regular,EACH,SW,2,2,S,,U,
50893400235S/M,,,0011,0045,0120,OSP TALON PRO 20L PACK CARBON S/M,EACH,OSP,1,1,S,,U,843820104004
50893700001XXL,,,0001,0001,0270,MAR MINIMALIST JKT BLACK XXL,EACH,MAR,5,5,S,,U,
50894400012L,,,0018,0084,0218,KAH NANOSPIKE TRACTION DEVICE CHARCOAL L,EACH,KAH,1,1,S,,U,
50894400012XL,,,0018,0084,0218,KAH NANOSPIKE TRACTION DEVICE CHARCOAL XL,EACH,KAH,2,2,S,,U,
50894400012XS,,,0018,0084,0218,KAH NANOSPIKE TRACTION DEVICE CHARCOAL XS,EACH,KAH,1,1,S,,U,
50894904336LRG,,,0007,0035,0084,THE COMPRESSIBLE CINCH PILLOW STARGAZER BLUE Large,EACH,THE,4,4,S,,U,040818115497
50894904336REG,,,0007,0035,0084,THE COMPRESSIBLE CINCH PILLOW STARGAZER BLUE Regular,EACH,THE,5,5,S,,U,040818115480
50894904336SML,,,0007,0035,0084,THE COMPRESSIBLE CINCH PILLOW STARGAZER BLUE Small,EACH,THE,5,5,S,,U,040818115473
50894909983LRG,,,0007,0035,0084,THE COMPRESSIBLE CINCH PILLOW PINES Large,EACH,THE,2,2,S,,U,040818115589
50894909983REG,,,0007,0035,0084,THE COMPRESSIBLE CINCH PILLOW PINES Regular,EACH,THE,3,3,S,,U,040818115572
50894909983SML,,,0007,0035,0084,THE COMPRESSIBLE CINCH PILLOW PINES Small,EACH,THE,3,3,S,,U,040818115565
508950,,,0022,0107,0267,THE WINGLOCK VALVE REPAIR KIT,EACH,THE,3,3,S,,,040818132852
508951,,,0022,0107,0267,THE CLASSIC VALVE REPAIR KIT,EACH,THE,2,2,S,,,040818133125
50895704708OS,,,0004,0021,0052,MAR RETRO TRUCKER HAT ICEBERG One Size,EACH,MAR,14,14,S,,U,
5089670000136,,,0002,0008,0023,MAR SCREE PANT W22 BLACK 36,EACH,MAR,4,4,S,,U,
508969,,,0018,0084,0219,MSR STRIKER 240 PROBE,EACH,MSR,1,1,S,,,040818031612
5089770000112,,,0002,0008,0023,MAR SCREE PANT W W22 BLACK 12,EACH,MAR,2,2,S,,U,
50897800001M,,,0001,0002,0272,MAR TRAIL WIND HOODY W W22 BLACK M,EACH,MAR,2,2,S,,U,
50897800001S,,,0001,0002,0272,MAR TRAIL WIND HOODY W W22 BLACK S,EACH,MAR,2,2,S,,U,
50897800001XL,,,0001,0002,0272,MAR TRAIL WIND HOODY W W22 BLACK XL,EACH,MAR,1,1,S,,U,
50897800001XS,,,0001,0002,0272,MAR TRAIL WIND HOODY W W22 BLACK XS,EACH,MAR,2,2,S,,U,
50898004714L,,,0001,0002,0272,MAR ROM JKT W W22 ENAMEL BLUE/SLATE L,EACH,MAR,1,1,S,,U,
50898004714S,,,0001,0002,0272,MAR ROM JKT W W22 ENAMEL BLUE/SLATE S,EACH,MAR,6,6,S,,U,
50898004714XS,,,0001,0002,0272,MAR ROM JKT W W22 ENAMEL BLUE/SLATE XS,EACH,MAR,4,4,S,,U,
50898300315OS,,,0004,0020,0049,MAR BEANIE RETRO TRUCKER Denim One Size,EACH,MAR,2,2,S,,U,
50898500001NS,,,0012,0053,0137,PAC PROSAFE 1000 TSA LOCK BLACK NS,EACH,PAC,6,6,S,,U,688334003753
50898600001NS,,,0012,0053,0137,PAC PROSAFE 1000 W CABLE LOCK BLACK NS,EACH,PAC,5,5,S,,U,688334057220
50899005123OS,,,0011,0045,0120,OSP DAYLITE PLUS 20L PACK W21 ENJOY OUTSIDE PRINT One Size,EACH,OSP,1,1,S,,U,843820162363
508995,,,0018,0084,0219,ORT ALU LIGHT 240 PROBE,EACH,ORT,2,2,S,,,
50900200440OS,,,0008,0036,0087,RAB ALPINE BIVI Horizon One Size,EACH,RAB,2,2,S,,U,821468949362
50900309988OS,,,0008,0036,0087,RAB STORM BIVI CHLORITE GREEN One Size,EACH,RAB,2,2,S,,U,821468949416
50900400007OS,,,0008,0036,0087,RAB ARK EMERGENCY 1P BIVI ORANGE One Size,EACH,RAB,5,5,S,,U,821468812802
50900700503LONG,,,0006,0031,0071,RAB ASCENT 500 SBAG Left Hand Long,EACH,RAB,1,1,S,,U,5059913032399
50900800503REG,,,0006,0031,0071,RAB ASCENT 500 WMNS SBAG Left Hand Regular,EACH,RAB,2,2,S,,U,
50900900007OS,,,0008,0036,0087,RAB ARK EMERGENCY 2P BIVI ORANGE One Size,EACH,RAB,6,6,S,,U,821468824515
509016,,,0014,0060,0152,JET COFFEE PRESS SILICONE,EACH,JET,3,3,S,,,858941006779
50902404302OS,,,0011,0045,0120,OSP DAYLITE CINCH 15L PACK W21 WAVE BLUE One Size,EACH,OSP,1,1,S,,U,843820112894
5090290472510,,,0003,0013,0036,ALT OLYMPUS 5 HIKE MID GTX BLACK/GRAY 10,EACH,ALT,1,1,S,,U,196246306317
5090290472510.5,,,0003,0013,0036,ALT OLYMPUS 5 HIKE MID GTX BLACK/GRAY 10.5,EACH,ALT,1,1,S,,U,196246306454
5090290472511,,,0003,0013,0036,ALT OLYMPUS 5 HIKE MID GTX BLACK/GRAY 11,EACH,ALT,1,1,S,,U,196246306591
5090290472511.5,,,0003,0013,0036,ALT OLYMPUS 5 HIKE MID GTX BLACK/GRAY 11.5,EACH,ALT,1,1,S,,U,196246306737
5090290472512,,,0003,0013,0036,ALT OLYMPUS 5 HIKE MID GTX BLACK/GRAY 12,EACH,ALT,1,1,S,,U,196246306867
5090290472512.5,,,0003,0013,0036,ALT OLYMPUS 5 HIKE MID GTX BLACK/GRAY 12.5,EACH,ALT,1,1,S,,U,196246306942
509029047259,,,0003,0013,0036,ALT OLYMPUS 5 HIKE MID GTX BLACK/GRAY 9,EACH,ALT,1,1,S,,U,196246305853
509029047259.5,,,0003,0013,0036,ALT OLYMPUS 5 HIKE MID GTX BLACK/GRAY 9.5,EACH,ALT,3,3,S,,U,196246306188
5090300000110,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX BLACK 10,EACH,ALT,1,1,S,,U,196246305419
5090300000110.5,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX BLACK 10.5,EACH,ALT,1,1,S,,U,196246305938
5090300000111,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX BLACK 11,EACH,ALT,1,1,S,,U,196246305761
5090300000111.5,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX BLACK 11.5,EACH,ALT,2,2,S,,U,196246306072
5090300000112,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX BLACK 12,EACH,ALT,1,1,S,,U,196246306171
5090300000112.5,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX BLACK 12.5,EACH,ALT,1,1,S,,U,196246306300
5090300000113,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX BLACK 13,EACH,ALT,1,1,S,,U,196246306447
509030000018,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX BLACK 8,EACH,ALT,1,1,S,,U,196246304894
509030000019,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX BLACK 9,EACH,ALT,1,1,S,,U,196246305181
509030000019.5,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX BLACK 9.5,EACH,ALT,1,1,S,,U,196246305594
5090320012510.5,,,0003,0014,0290,ALT OLYMPUS 5 SHOE Black/Black 10.5,EACH,ALT,1,1,S,,U,196246301114
5090320012511,,,0003,0014,0290,ALT OLYMPUS 5 SHOE Black/Black 11,EACH,ALT,1,1,S,,U,196246301435
